HVH_107_14_000001_000001	皇越律侧卷十四目録
HVH_107_14_000036_000025	准開放如不行報官及秘养馈封者照
HVH_107_14_000036_000026	例治罪者並無親屬交無房屋者即
HVH_107_14_000037_000001	報官老日令該管官驗訊明確病
HVH_107_14_000037_000002	之人最加馈监禁具詳立案加果
HVH_107_14_000037_000003	禁之後瘋病並不舉發俟数年後診驗
HVH_107_14_000037_000004	情形再行酌量詳請開释傾回防範者
HVH_107_14_000037_000005	會經殺人者除照例收外即合永达
HVH_107_14_000037_000006	鎖鋼或痊愈不准釋放如馈禁不
HVH_107_14_000037_000007	以致疯犯在监摄果獄囚者將管狱有
HVH_107_14_000037_000008	狱官最加黎處狱卒照例最加治罪地
HVH_107_14_000037_000009	方官遇有疯病人之案呈報到官
HVH_107_14_000037_000010	取被殺之事主切實供詞并取佑地
HVH_107_14_000037_000011	方確實供結該官詳加驗訊如有假
HVH_107_14_000037_000012	皇越律例卷律
HVH_107_14_000037_000013	美
HVH_107_14_000037_000014	藏状鼠道失人
HVH_107_14_000037_000015	疯安報除兒犯即行按律治罪外將知
HVH_107_14_000037_000016	情控報之地方鄰右親屬人等照隱
HVH_107_14_000037_000017	罪人知情者减罪人一等律問擬
HVH_107_14_000037_000018	一藏病連我平人二命上者绞監候
HVH_107_14_000037_000019	一子孙過失殺租父父毋之業定案時
HVH_107_14_000037_000020	仍照本例問擬决法司核其情節
HVH_107_14_000037_000021	弹射禽獸投擲磚尾除耳目所可及者
HVH_107_14_000037_000022	毋庸聲明外如投擲隔于墙薛弹射障
HVH_107_14_000037_000023	于林木以及駕船乘馬介高舉重實係
HVH_107_14_000037_000024	力不能施勢難自主與耳目不及思
HVH_107_14_000037_000025	不到之律註相符者准将可原情簡题
HVH_107_14_000038_000001	服制情輕之例聲明恭误
HVH_107_14_000038_000002	欽定加蒙
HVH_107_14_000038_000003	聖恩维其减等再减爲杖一百流三千里至妻
HVH_107_14_000038_000004	妾過夫殺夫奴婢過失殺家長亦此
HVH_107_14_000038_000005	侧辨理
HVH_107_14_000038_000006	皇建例卷十四用件
HVH_107_14_000038_000007	三
HVH_107_14_000038_000008	成校教夫按人
HVH_107_14_000039_000001	夫爱死有罪要妾
HVH_107_14_000039_000002	经不必像無
HVH_107_14_000039_000003	总深之总其
HVH_107_14_000039_000004	经乃借
HVH_107_14_000039_000005	烈抵断义
HVH_107_14_000039_000006	擅殺死者杖一百
HVH_107_14_000039_000007	親告乃坐
HVH_107_14_000039_000008	夕功溺发其子
HVH_107_14_000039_000009	從而附价此等
HVH_107_14_000039_000010	车最宜洋慎
HVH_107_14_000039_000011	巴域妻有地
HVH_107_14_000039_000012	题是死有罪
HVH_107_14_000039_000013	罪不至无而无禮救仍较
HVH_107_14_000039_000014	委安内止言图
HVH_107_14_000039_000015	此费妾或赋或属夫之祖父毋
HVH_107_14_000039_000016	哈馬班父母父母一
HVH_107_14_000039_000017	别税而老
HVH_107_14_000039_000018	遵殺者则不得此
HVH_107_14_000039_000019	科新
HVH_107_14_000039_000020	者罪應按是有應死之罪矣但當
HVH_107_14_000039_000021	德祖父没毋親自告馆希之不當
HVH_107_14_000039_000022	搜耳夫妻妾其妻
HVH_107_14_000039_000023	而有盡者弟論家周喝之内妻接
HVH_107_14_000039_000024	得佛确自研何罪之有此
HVH_107_14_000039_000025	因論擅故没自盡之事也
HVH_107_14_000039_000026	條创
HVH_107_14_000039_000027	重越第卷十四为
HVH_107_14_000039_000028	\
HVH_107_14_000039_000029	夫限死有妻责
HVH_107_14_000039_000030	一费與口以自無傷痕者無
HVH_107_14_000039_000031	庸者殿有重傷自死者其夫杖入
HVH_107_14_000039_000032	十
HVH_107_14_000039_000033	一妻妾無罪被歐致折傷以上者雖有
HVH_107_14_000039_000034	自盡实跡仍依夫酸妻妾致折傷本律
HVH_107_14_000039_000035	科所
HVH_107_14_000040_000001	殺子孙及奴婢图顿人
HVH_107_14_000040_000002	祖父毋毋故我子孫及家長故殺奴
HVH_107_14_000040_000003	婢圖頓人者杖七十徒一年半0若子
HVH_107_14_000040_000004	孙将巳死祖父毋父母奴婵雇工人将
HVH_107_14_000040_000005	家長身屍
HVH_107_14_000040_000006	圖頼人者杖一百徒三年
HVH_107_14_000040_000007	将期親尊長杖八十徒二年大功小
HVH_107_14_000040_000008	功認麻各通减一等。若尊長將已死
HVH_107_14_000040_000009	告宫言
HVH_107_14_000040_000010	誣告平人律
HVH_107_14_000040_000011	发
HVH_107_14_000040_000012	坐
HVH_107_14_000040_000013	論罪。若因而詐取
HVH_107_14_000040_000014	財物者計准竊盗論拾去财物者准
HVH_107_14_000040_000015	皇惑律何十四月年
HVH_107_14_000040_000016	白畫搶奪論免刺各從重科
HVH_107_14_000040_000017	三十
HVH_107_14_000040_000018	放于孙及辉目人
HVH_107_14_000040_000019	额罪
HVH_107_14_000040_000020	重依圆
HVH_107_14_000040_000021	額論詐取搶奪罪
HVH_107_14_000040_000022	重依詐取拾奪箱
HVH_107_14_000040_000023	者萌之圖賴若祖父母父毋將自巴
HVH_107_14_000040_000024	同此因固人效加一等周赖之法
HVH_107_14_000040_000025	此信父祖教于孙家最权不言
HVH_107_14_000040_000026	忘哀妄借為诉之致有暴露
HVH_107_14_000040_000027	死會長身屍人者期親杖入十
HVH_107_14_000040_000028	徒二年大功以下各港城一等大功
HVH_107_14_000041_000001	年想麻杖一百疑同遭暴面親
HVH_107_14_000041_000002	圆人之罪故早切與他人同则
HVH_107_14_000041_000003	夫以妻家以奴工人
HVH_107_14_000041_000004	额者亦同論可知矣以上俱是
HVH_107_14_000041_000005	免刺字以其搶事有所酒
HVH_107_14_000041_000006	非眞监检奪电爷從重科脊謂
HVH_107_14_000041_000007	旗趣告詐計其
HVH_107_14_000041_000008	輕重從重者論機也
HVH_107_14_000041_000009	條例
HVH_107_14_000041_000010	越律卷十四律
HVH_107_14_000041_000011	罕
HVH_107_14_000041_000012	发子及奴人
HVH_107_14_000041_000013	一有服親属互相以屍圖额者伙干名犯
HVH_107_14_000041_000014	義律
HVH_107_14_000041_000015	一妻將夫屍赖人此依单切將期親尊
HVH_107_14_000041_000016	長圖頼人律若夫將妻屍圖頼人者伙
HVH_107_14_000041_000017	不應重律其告官司詐财搶奪者依本
HVH_107_14_000041_000018	律科
HVH_107_14_000041_000019	一故殺妾及子孙姪孫與子孙之圖
HVH_107_14_000041_000020	頼人者無論图頼係人及尊单親屬
HVH_107_14_000041_000021	俱近克軍
HVH_107_14_000041_000022	一無帜见棍遇有自盡之案月認屍親混
HVH_107_14_000041_000023	行闹殴打或將棺材欄阻打壞撞去
HVH_107_14_000042_000001	屍首勒行詐者均杖一百枷號两管
HVH_107_14_000042_000002	月若該管地方兵役知而不拿者各照
HVH_107_14_000042_000003	不應重律治罪
HVH_107_14_000042_000004	一兄及伯叔謀李族人财産故殺第姪
HVH_107_14_000042_000005	圆頼玫被詐之家復有故殺長
HVH_107_14_000042_000006	成立决重案者除罪犯應死悉照各本
HVH_107_14_000042_000007	例定提外其罪應流者即照兄及伯叔
HVH_107_14_000042_000008	因争套序财産故行殺害例提盟
HVH_107_14_000042_000009	候至脓詐之家财亲或無人承不得
HVH_107_14_000042_000010	以争奉者之後繼嗣承受
HVH_107_14_000042_000011	皇越律创卷十四
HVH_107_14_000042_000012	里
HVH_107_14_000042_000013	渡子孙反奴样圆人
HVH_107_14_000043_000001	弓箭傷人
HVH_107_14_000043_000002	凡無故向城市及有人居止宅合放弹射
HVH_107_14_000043_000003	箭投掷砖石者
HVH_107_14_000043_000004	晕不
HVH_107_14_000043_000005	各创律本重罪
HVH_107_14_000043_000006	而犯明不知者几人输本者
HVH_107_14_000043_000007	聽促本法仍追拾埋银一十两
HVH_107_14_000043_000008	城市则人烟聚集之所宅舍财人所
HVH_107_14_000043_000009	住居之面弹箭傅石等物者是以
HVH_107_14_000043_000010	成傷之罪齐答四十再歲一等则
HVH_107_14_000043_000011	皇越律例一卷四半
HVH_107_14_000043_000012	反程于放射发搬面未傷人者疾
HVH_107_14_000043_000013	甲
HVH_107_14_000043_000014	简人
HVH_107_14_000043_000015	人得城一等简疾不做时至死亦
HVH_107_14_000043_000016	難日故门井有
HVH_107_14_000043_000017	照各到犯時不知便几人满患贷
HVH_107_14_000043_000018	者聽從
HVH_107_14_000043_000019	本法
HVH_107_14_000043_000020	例
HVH_107_14_000043_000021	一烏竹镜内城市及有人居止宅舍
HVH_107_14_000043_000022	施放者雖不傷人答四十誤傷人者
HVH_107_14_000043_000023	汤火傷人律一等因而致死者杖一百
HVH_107_14_000043_000024	流三干里若在深山聩野施放誤傷人
HVH_107_14_000043_000025	者减湯火傷人律二等因而致死者杖
HVH_107_14_000043_000026	一百徒三年皆追微埋垫一十两
HVH_107_14_000044_000001	車馬殺傷人
HVH_107_14_000044_000002	無故於街市鎮店馳驟車馬因而傷人
HVH_107_14_000044_000003	者成儿傷一等致死者杖一百流三
HVH_107_14_000044_000004	千里若鄉村無人礦野地内馳
HVH_107_14_000044_000005	因而傷人都致死者杖一百前犯
HVH_107_14_000044_000006	不致
HVH_107_14_000044_000007	以上
HVH_107_14_000044_000008	鱼追埋垫缺一十两0若因公急速
HVH_107_14_000044_000009	而馳驟殺傷人者以過失論
HVH_107_14_000044_000010	依津收
HVH_107_14_000044_000011	…
HVH_107_14_000044_000012	效死者各問罪之外並追埋基銀一
HVH_107_14_000044_000013	皇越一卷十四年
HVH_107_14_000044_000014	早
HVH_107_14_000044_000015	車马教傷人
HVH_107_14_000044_000016	野而傷人从通先
HVH_107_14_000044_000017	享
HVH_107_14_000044_000018	信非是盖無故于
HVH_107_14_000044_000019	村尚不者傷人之罪有
HVH_107_14_000044_000020	因公務而傷人友以遇失論贈哉
HVH_107_14_000044_000021	條例
HVH_107_14_000044_000022	一骑馬插傷人除依律擬斷外仍將所
HVH_107_14_000044_000023	騎之馬給與被拉之人若被之人身
HVH_107_14_000044_000024	死其馬人官
HVH_107_14_000045_000001	庸醫救傷人
HVH_107_14_000045_000002	无庸爲人用藥刺誤不如本方因而
HVH_107_14_000045_000003	致死者貴合别辨驗樂餌道如
HVH_107_14_000045_000004	全参数人必其
HVH_107_14_000045_000005	病本不致死而死由
HVH_107_14_000045_000006	故害之情者以過失人論
HVH_107_14_000045_000007	拾付其
HVH_107_14_000045_000008	保律收
HVH_107_14_000045_000009	的明者方
HVH_107_14_000045_000010	可坐乘如攻下之快
HVH_107_14_000045_000011	不許行口若故本方_詐療
HVH_107_14_000045_000012	死無虚脱之形游
HVH_107_14_000045_000013	之而死無
HVH_107_14_000045_000014	增作重取财物者計准
HVH_107_14_000045_000015	之者不便妨咎於
HVH_107_14_000045_000016	海若共病光经他
HVH_107_14_000045_000017	静客
HVH_107_14_000045_000018	断以不治酸测
HVH_107_14_000045_000019	铁治毛死形济破
HVH_107_14_000045_000020	荣行醫不治其罪
HVH_107_14_000045_000021	之藥殺人者斬
HVH_107_14_000045_000022	未精通谓道之爲人秦治或
HVH_107_14_000045_000023	银
HVH_107_14_000045_000024	整
HVH_107_14_000045_000025	冀病原属必死包
HVH_107_14_000045_000026	害人之儒者以過失論依律收
HVH_107_14_000045_000027	越律例卷-四
HVH_107_14_000045_000028	付其家不許行蓝難复害人之
HVH_107_14_000045_000029	原
HVH_107_14_000045_000030	人
HVH_107_14_000045_000031	及因属治面行讲害之事故用
HVH_107_14_000045_000032	要静故無異放坐斬
HVH_107_14_000045_000033	條例
HVH_107_14_000045_000034	一几符水道士及一切人等作爲異端法
HVH_107_14_000045_000035	人致死者照教律提
HVH_107_14_000045_000036	绞误未致死者杖一百流三千里爲
HVH_107_14_000045_000037	從各减一等
HVH_107_14_000046_000001	高弓殺傷人
HVH_107_14_000046_000002	打捕户深山曠野猛默往來去處穿
HVH_107_14_000046_000003	作院穿及安置窝弓不立望竿及抹眉
HVH_107_14_000046_000004	小索者人人
HVH_107_14_000046_000005	雖未傷
HVH_107_14_000046_000006	四十以致傷人者减
HVH_107_14_000046_000007	段傷二等因而致死者杖一百徒三
HVH_107_14_000046_000008	年追徵埋银一十两
HVH_107_14_000046_000009	放装傷人者從
HVH_107_14_000046_000010	姥佛山野
HVH_107_14_000046_000011	箭放
HVH_107_14_000046_000012	保瀚
HVH_107_14_000046_000013	打捕者獵户之名也獵户之取猛
HVH_107_14_000046_000014	而以射取之二者当防其傷人
HVH_107_14_000046_000015	故处干选开高之處立里竿小
HVH_107_14_000046_000016	来里而可見日理竿横小索高與
HVH_107_14_000046_000017	有齊日林眉小索使行走之人見
HVH_107_14_000046_000018	皇越律例一卷十四刻件
HVH_107_14_000046_000019	早
HVH_107_14_000046_000020	高弓校傷人
HVH_107_14_000046_000021	竿索者傷人亦答四十以其
HVH_107_14_000046_000022	但捕之利而不人之害也
HVH_107_14_000046_000023	若目無索而行走其弃
HVH_107_14_000046_000024	年追希规
HVH_107_14_000046_000025	银一十两
HVH_107_14_000047_000001	威遇人致死
HVH_107_14_000047_000002	注威之情慈
HVH_107_14_000047_000003	萬必其人之城势
HVH_107_14_000047_000004	-
HVH_107_14_000047_000005	2
HVH_107_14_000047_000006	几因事
HVH_107_14_000047_000007	錢之類
HVH_107_14_000047_000008	户田土
HVH_107_14_000047_000009	卷犯
HVH_107_14_000047_000010	人必
HVH_107_14_000047_000011	有效总難受無奈
HVH_107_14_000047_000012	果逼追果不
HVH_107_14_000047_000013	有可畏
HVH_107_14_000047_000014	之成
HVH_107_14_000047_000015	杖一百若官吏公使人等非因
HVH_107_14_000047_000016	何之因而自盡者
HVH_107_14_000047_000017	力合此律益总失悉
HVH_107_14_000047_000018	一
HVH_107_14_000047_000019	每因小数鞋
HVH_107_14_000047_000020	付死
HVH_107_14_000047_000021	生非必果由成通也
HVH_107_14_000047_000022	司刑者多图其法
HVH_107_14_000047_000023	輕容易加人而不知
HVH_107_14_000047_000024	非律意也
HVH_107_14_000047_000025	遮减一等。若因盗而威逼人
HVH_107_14_000047_000026	2
HVH_107_14_000047_000027	不論已成與未成盗
HVH_107_14_000047_000028	因事輯非無故也事子所包者廣
HVH_107_14_000047_000029	之難其威遣其
HVH_107_14_000047_000030	惧怕而不敢较悉恨而所伸因而
HVH_107_14_000047_000031	皇越律例
HVH_107_14_000047_000032	卷十四月律
HVH_107_14_000047_000033	罕六
HVH_107_14_000047_000034	成通人数
HVH_107_14_000047_000035	自盡也图事威追人致死七字其意
HVH_107_14_000047_000036	杖一百追命埋基银一十两此指
HVH_107_14_000047_000037	私事无人而言地若官使公使人等
HVH_107_14_000047_000038	一
HVH_107_14_000047_000039	哉故其罪至死大功以
HVH_107_14_000047_000040	之尊长则
HVH_107_14_000047_000041	我
HVH_107_14_000047_000042	迎减一等大功随放一
HVH_107_14_000047_000043	小功杖一百徒三年杖九十徒
HVH_107_14_000047_000044	百流三千里
HVH_107_14_000047_000045	二年半其规渐其罪渐减無服之
HVH_107_14_000048_000001	A
HVH_107_14_000048_000002	微命人妻與大妹及之
HVH_107_14_000048_000003	妻至死者各依人論觀此則應以
HVH_107_14_000048_000004	人我死者朝犯盗其情已重况
HVH_107_14_000048_000005	人和姦而褒夫依恶勢力威逼其
HVH_107_14_000048_000006	夫舆父毋及同居親易自書夫
HVH_107_14_000048_000007	坐新始文豈得鞋疑数死教夫律
HVH_107_14_000048_000008	故姦夫之罪亦同死者他見屬
HVH_107_14_000048_000009	皇越律例円行
HVH_107_14_000048_000010	早
HVH_107_14_000048_000011	成运人效死
HVH_107_14_000048_000012	精女猶可业異核争堵提体册
HVH_107_14_000048_000013	性本以容
HVH_107_14_000048_000014	亦于
HVH_107_14_000048_000015	政察羞提自墙自作草于人何有
HVH_107_14_000048_000016	其本和無所或則夫但得
HVH_107_14_000048_000017	致死之限
HVH_107_14_000048_000018	條例
HVH_107_14_000048_000019	无因姦感逼人致死人犯務要眷有挟
HVH_107_14_000048_000020	香四宇
HVH_107_14_000048_000021	注须事青执创
HVH_107_14_000048_000022	制窘辱情狀其死者無論本婦本夫父
HVH_107_14_000048_000023	毋親屬夫亦以威逼擬靳若和
HVH_107_14_000049_000001	容而本婦本去愧迫自盡或妻妾自逼
HVH_107_14_000049_000002	死其夫或父毋夫自逼死其妻女或姦
HVH_107_14_000049_000003	婦以别事致死其夫與姦夫無干者母
HVH_107_14_000049_000004	得集坐因姦威逼之條
HVH_107_14_000049_000005	一因强姦將本婦
HVH_107_14_000049_000006	即碳立時数死者提
HVH_107_14_000049_000007	之婦
HVH_107_14_000049_000008	斬立决强姦未逐将本标段傷越数日
HVH_107_14_000049_000009	後因本傷身死者照因威逼致死律
HVH_107_14_000049_000010	擬斬監侯若强姦人妻女其夫與父毋
HVH_107_14_000049_000011	親屬聞聲赴救姦夫逞拒捕立時殺
HVH_107_14_000049_000012	死者俱擬斬立决若傷越数日後因
HVH_107_14_000049_000013	本傷身无者亦照因姦威逼致死律擬
HVH_107_14_000049_000014	皇越律何一卷十四律
HVH_107_14_000049_000015	四十
HVH_107_14_000049_000016	威逼人致死
HVH_107_14_000049_000017	斬監候至姦已成其夫與父毋親屬
HVH_107_14_000049_000018	及本婦差念自書者斬監候如強姦
HVH_107_14_000049_000019	未成或但經調戲其夫與父母親屬及
HVH_107_14_000049_000020	本婦美念自者俱提絞监候
HVH_107_14_000049_000021	一强内外思麻以上親及麻以上親
HVH_107_14_000049_000022	之妻若妻前夫之友同毋異父妹未
HVH_107_14_000049_000023	成本婦差念自盡者俱提斬监误其强
HVH_107_14_000049_000024	已成本婦麦念自书者俱提斬立央
HVH_107_14_000049_000025	一凡因事用强险打威逼人致死果有致
HVH_107_14_000049_000026	命重傷及成残廢篤疾者维有自盡實
HVH_107_14_000049_000027	跡依律追給埋基銀两近其致命
HVH_107_14_000050_000001	而非重傷及重傷而非致命之處者追
HVH_107_14_000050_000002	拾整银西杖一百徒三年若逼迫尊
HVH_107_14_000050_000003	長致令自盡之案除期親里幼刃傷尊
HVH_107_14_000050_000004	長尊属及折股若辖其一目並功服甲
HVH_107_14_000050_000005	幼傷尊長尊屬至篤疾者仍依律
HVH_107_14_000050_000006	央外若有致命重傷未成残者總
HVH_107_14_000050_000007	麻早幼照凡人加一等遗功服单
HVH_107_14_000050_000008	幼遠期親早动仍照逼迫本律校
HVH_107_14_000050_000009	監候其致命而非重傷或傷重而非致
HVH_107_14_000050_000010	命之處者期服卑幼仍照逼迫本律紋
HVH_107_14_000050_000011	監保功服照前例成一等遠邊麻
HVH_107_14_000050_000012	皇越律例卷四
HVH_107_14_000050_000013	刑伴
HVH_107_14_000050_000014	晃
HVH_107_14_000050_000015	成退人受死
HVH_107_14_000050_000016	餐近尊犯卑幼各按服制照律科
HVH_107_14_000050_000017	其傷罪
HVH_107_14_000050_000018	一凡因事威逼人致死一家二命及非一
HVH_107_14_000050_000019	家但至三命以上者除近若一家三
HVH_107_14_000050_000020	命以上资遠遣仍依律各追给埋基銀
HVH_107_14_000050_000021	兩
HVH_107_14_000050_000022	一凡軍民人等因事逼追本常官致死
HVH_107_14_000050_000023	首者比依逼迫期親摩長致死律校爲
HVH_107_14_000050_000024	從者伽號三筒月發近遣
HVH_107_14_000050_000025	一凡奉差员役朝持勘合失牌照数支取
HVH_107_14_000050_000026	而該地方官不能措辨因而自盡者勿
HVH_107_14_000051_000001	論若奉差員役額外需索逼死郎官者
HVH_107_14_000051_000002	實依威逼致死律杖一百加徒二年
HVH_107_14_000051_000003	老有受賄實跡仍依枉法從重論
HVH_107_14_000051_000004	一豪强兒恶之徒恃财倚势因事威逼
HVH_107_14_000051_000005	制窘辱令平民冤苦無伸情極自書致
HVH_107_14_000051_000006	死一家三命以上者提斬监候致死一
HVH_107_14_000051_000007	家二命及非一家但至三命以上者换
HVH_107_14_000051_000008	获监候如無前项情管仍照例分别
HVH_107_14_000051_000009	軍
HVH_107_14_000051_000010	凡子孫不孝致祖父毋父毋自盡之案
HVH_107_14_000051_000011	如番有觸忤干犯情節以致念微輕生
HVH_107_14_000051_000012	自越年例卷裤
HVH_107_14_000051_000013	平
HVH_107_14_000051_000014	威逼人爱处
HVH_107_14_000051_000015	窘迫自盡者即换斬决其本無觸性情
HVH_107_14_000051_000016	但其行為建犯教令以致抱念輕生
HVH_107_14_000051_000017	自書者捷以侯妻妾於夫之祖父毋
HVH_107_14_000051_000018	母有犯罪同
HVH_107_14_000051_000019	一凡妻妾悍逼追其夫致死者捷立
HVH_107_14_000051_000020	央若蚌起口角事涉细微金無逼迫情
HVH_107_14_000051_000021	状其夫輕生自书者照子違犯教令
HVH_107_14_000051_000022	致毋輕生自書例提误
HVH_107_14_000051_000023	一婦人因姦有学畏人知覺與姦夫商謀
HVH_107_14_000051_000024	用藥打胎以至壁胎身死者夫比照
HVH_107_14_000051_000025	以毒藥人知情賣藥者至死等
HVH_107_14_000052_000001	律杖一百流三千里若有服制名分本
HVH_107_14_000052_000002	罪重於流者仍照本律從重科断如
HVH_107_14_000052_000003	婦自倩他人買藥姦大果不知情止科
HVH_107_14_000052_000004	姦罪
HVH_107_14_000052_000005	一凡村野愚民本無圖姦之心又無手足
HVH_107_14_000052_000006	勾引制窘辱情狀不道出語押本
HVH_107_14_000052_000007	婦一聞穢語即便輕生照强姦未成本
HVH_107_14_000052_000008	婦羞念自書例减一等杖一百流三千
HVH_107_14_000052_000009	里
HVH_107_14_000052_000010	一凡和姦之案姦婦因姦情敗露差愧自
HVH_107_14_000052_000011	書者夫杖一百徒三年
HVH_107_14_000052_000012	皇越律例卷十四伴
HVH_107_14_000052_000013	至
HVH_107_14_000052_000014	成遇人死
HVH_107_14_000052_000015	一婦女與八通姦致鱼未猴容之父毋一
HVH_107_14_000052_000016	經見聞殺姦不遂羞忿自盡者無論出
HVH_107_14_000052_000017	嫁在室俱提立央其本夫未客
HVH_107_14_000052_000018	一經見聞按姦不遂因而羞忿自盡者
HVH_107_14_000052_000019	婦凝紋監保姦夫俱旋杖一百徒三
HVH_107_14_000052_000020	年若本夫與父毋容通姦後因轰情
HVH_107_14_000052_000021	敗露愧追自書者姦夫姦婦止科姦罪
HVH_107_14_000052_000022	一姦夫姦婦商謀同死若七将姦婦致死
HVH_107_14_000052_000023	姦夫無自戕傷痕同死確據者審明
HVH_107_14_000052_000024	或係謀故或保間教核其實在情管各
HVH_107_14_000052_000025	按本律提以斬较不得因有同死之供
HVH_107_14_000053_000001	稍為竟貸若姦夫與婦因情敗露
HVH_107_14_000053_000002	商謀同死姦婦当即命姦夫業經自
HVH_107_14_000053_000003	我因人救阻醫治傷痊實有確者将
HVH_107_14_000053_000004	夫减殺罪一等律杖一百流三千
HVH_107_14_000053_000005	里如另有拐逃及别项情節臨時量
HVH_107_14_000053_000006	從重定
HVH_107_14_000053_000007	X
HVH_107_14_000053_000008	一凡調姦婦女未成業經和息之後如有
HVH_107_14_000053_000009	西人耻笑其夫與父毋親屬及本婦復
HVH_107_14_000053_000010	追侮抱念自書致死二命者将调姦之
HVH_107_14_000053_000011	犯遠遣若致死一命者杖一百流三
HVH_107_14_000053_000012	千里
HVH_107_14_000053_000013	皇越律例一卷十四月年
HVH_107_14_000053_000014	圣
HVH_107_14_000053_000015	威通人死
HVH_107_14_000053_000016	一凡婦女因人褒語戲詭姜念目盡之案
HVH_107_14_000053_000017	如係益無他故輒以戲言觀面相者
HVH_107_14_000053_000018	即照但經調本婦差念自盡例旋
HVH_107_14_000053_000019	監侯其因他事與婦友口角彼此罵
HVH_107_14_000053_000020	婦女一聞語氣念輕生以及未與
HVH_107_14_000053_000021	婦女觀面相止與其夫及親屬互相
HVH_107_14_000053_000022	戲婦女聽聞語羞念自盡者仍照
HVH_107_14_000053_000023	侧杖一百流三千里
HVH_107_14_000053_000024	一婦女合媳賣不從折磨逼致媳情
HVH_107_14_000053_000025	急自書者狡候若妄婦抑媳同
HVH_107_14_000053_000026	邪淫致媳情急自書者遠
HVH_107_14_000054_000001	尊長人私和
HVH_107_14_000054_000002	九祖父毋父毋及夫若家長人所而
HVH_107_14_000054_000003	子孫妻妾奴婢雇工人私和者杖一百
HVH_107_14_000054_000004	徒三年期親尊長被而单幼私和者
HVH_107_14_000054_000005	杖八十徒二年大功以下各遁减一等
HVH_107_14_000054_000006	制
HVH_107_14_000054_000007	卑幼一等若妻妾子孫及子孫之婦奴
HVH_107_14_000054_000008	婢雇工人被殺而父毋父毋夫家長
HVH_107_14_000054_000009	私和者杖八十受财者計賦准盗
HVH_107_14_000054_000010	從重科断
HVH_107_14_000054_000011	和各教命常人
HVH_107_14_000054_000012	者言赋是入官
HVH_107_14_000054_000013	他码
HVH_107_14_000054_000014	人私和人命者放六十
HVH_107_14_000054_000015	受财准
HVH_107_14_000054_000016	枉法输
HVH_107_14_000054_000017	皇越律侧卷十
HVH_107_14_000054_000018	雨伴
HVH_107_14_000054_000019	五十三
HVH_107_14_000054_000020	长码人双都
HVH_107_14_000054_000021	说日人所則謀故誤当
HVH_107_14_000054_000022	告官充抵面與行兒之人私和者杖
HVH_107_14_000054_000023	一百徒三年以其逆忘售不幸不
HVH_107_14_000054_000024	期下其服其
HVH_107_14_000054_000025	一年许小功放大十徒一年概麻校
HVH_107_14_000054_000026	一百其单初服面尊長私和者
HVH_107_14_000054_000027	尊長法各藏等则期親放七十徒
HVH_107_14_000054_000028	分早而所同也若妻子及
HVH_107_14_000054_000029	九十尊長止城一等名
HVH_107_14_000054_000030	之婦奴催工人面相
HVH_107_14_000054_000031	毋父毋夫家長私和者八十
HVH_107_14_000054_000032	汗常认嗜以其所重于常人几此
HVH_107_14_000054_000033	皆言私和而未得财者若受财而彩
HVH_107_14_000054_000034	和测入之准免刺如
HVH_107_14_000054_000035	胜罪重干私和则從脏罪科断服
HVH_107_14_000055_000001	毋以下言之此此罪之
HVH_107_14_000055_000002	重于雕罪和科承
HVH_107_14_000055_000003	人命
HVH_107_14_000055_000004	照受枉法赃從重論不待言也
HVH_107_14_000055_000005	條侧
HVH_107_14_000055_000006	一几屍親人等私和命除未經得财者
HVH_107_14_000055_000007	仍照律疑議外如親期服以下親
HVH_107_14_000055_000008	受财私和及兑犯期服以下親屬用財
HVH_107_14_000055_000009	行求者俱計准枉法論分别定罪其
HVH_107_14_000055_000010	祖父母父毋被殺子孫受贿私和者無
HVH_107_14_000055_000011	諭賊数多寡俱提杖一百流三千里若
HVH_107_14_000055_000012	子孫破殺祖文母父毋受贿私和無論
HVH_107_14_000055_000013	心4
HVH_107_14_000055_000014	皇越律例卷律
HVH_107_14_000055_000015	吾
HVH_107_14_000055_000016	拿员属人教社和
HVH_107_14_000055_000017	赃数多寡俱杖一百其以财行未者如
HVH_107_14_000055_000018	亦係很之父毋父毋無論受財者
HVH_107_14_000055_000019	係被殺之尊長单幼亦不計賊杖
HVH_107_14_000055_000020	百若犯罪止流者以财行求之祖
HVH_107_14_000055_000021	毋父毋减一等杖九十罪止徒音减
HVH_107_14_000055_000022	二等杖八十說事過錢者各減受财人
HVH_107_14_000055_000023	减一等
HVH_107_14_000056_000001	同行知有謀害
HVH_107_14_000056_000002	九知同件人欲行謀害他人不即阻當救
HVH_107_14_000056_000003	護及被害之後不首告者杖一百
HVH_107_14_000056_000004	同伴所电者廣在明行炸客调
HVH_107_14_000056_000005	是
HVH_107_14_000056_000006	寓贸易同案之類不前儿人親屬背
HVH_107_14_000056_000007	人队上诺同件止
HVH_107_14_000056_000008	齐有兼发
HVH_107_14_000056_000009	皇越律例
HVH_107_14_000056_000010	卷十四月律
HVH_107_14_000056_000011	美
HVH_107_14_000056_000012	月行知有容
