HVH_101_000001_000001	皇朝維新萬萬年歲叁
HVH_101_000043_000014	由行工
HVH_101_000043_000015	同就住店报那党现方會合即
HVH_101_000043_000016	夜入本邑名家開赌何路可便進退宜親指引所賭得
HVH_101_000043_000017	干亦有一分伊辞以主僕之美那行盗人謂日汝不肯咱
HVH_101_000043_000018	今夜汝夫妻不好伊妻泣曰良人行矣免死爲愈那行盗
HVH_101_000043_000019	人押引至本邑地頭適見那党約二十人餘或抗短刀或
HVH_101_000043_000020	持绳槓迫伊首行至财主家門前坚闭那党令伊同一
HVH_101_000043_000021	盗潜入闭門那党透八廷中打點火光尋主家不得破房
HVH_101_000043_000022	門入破開木函抄掠函内及家中圖物整顿始得拾忽
HVH_101_000043_000023	見埋伏丁夫放號那令伊放火伊将把火其門館那党
HVH_101_000044_000001	破闲後星走道伊被民夫所旗解纳甘罪寺語
HVH_101_000044_000002	又体被之伊妻供詞
HVH_101_000044_000003	據被捉親妻称伊氏不記原贯省社父母早没惟
HVH_101_000044_000004	依親兄被嫂不容失脚度活年前常就失财主家做工窥
HVH_101_000044_000005	見家奴名被提質朴勤業未有要室念及资身苟合為夫
HVH_101_000044_000006	妻於日暮深見那签人名潜入住店自称共氏夫相
HVH_101_000044_000007	善誘相行韧財主名家氏夫辞謂主僕之情行此不
HVH_101_000044_000008	那謂不咱今夜夫妻不好氏見出此泣謂氏夫行則行免
HVH_101_000044_000009	死爲愈那即引氏夫同行氏伺其稍遠自取徑路驰报伊
HVH_101_000044_000010	詞翰
HVH_101_000044_000011	四十五
HVH_101_000044_000012	王詳知訖未及出門那党透八庭前家主見知越籬脱出
HVH_101_000044_000013	手唤氏亦出兹承捉供夫在那党催氏查究據寔供称
HVH_101_000044_000014	甘罪寺語
HVH_101_000044_000015	又体
HVH_101_000044_000016	兹抛被抗之名供称伊名年前爲里長所干得
HVH_101_000044_000017	苹回鄉不堪受辱寂見社山脚除地可以寨立容身辞
HVH_101_000044_000018	共伊社乞認调破成项纳租二三年来未成根脚力度
HVH_101_000044_000019	口莫敢為非因辰娘食妻子在贯無以供給前效日適慣
HVH_101_000044_000020	回行盗人名么就兄第旬運屯赛将不保妻子现下彼
HVH_101_000045_000001	财主名家富句日来賣票積银效多行路可牛日
HVH_101_000045_000002	眾一打可充支度伊回言报在此日．不曾交遊不詳歷
HVH_101_000045_000003	路所募手下五人料亦可使要有线引方好那行盗人名
HVH_101_000045_000004	謂有慣人在彼邑但不可先通消息隨辰迫之必從
HVH_101_000045_000005	伊謂那行盗人各可多火掠丁尋使而行馴至目
HVH_101_000045_000006	晚那行益人引到人各持绳裹报伊唱平發行耶
HVH_101_000045_000007	行盗先往寓店人誘為綫引伊纠行八暮約初更未至
HVH_101_000045_000008	被色地頭接見寓店人引寓店人来伊迫向道抵处那行
HVH_101_000045_000009	盛人将尖刺放路留一请路借退寓店人引至财主家透
HVH_101_000045_000010	詞翰
HVH_101_000045_000011	四十六
HVH_101_000045_000012	八抄掠餘伊寓店人供詞兹承提解查尽首甘罪至如
HVH_101_000045_000013	走人寺原非同夥不知名回不詳何來莫敢蔓供寺語
HVH_101_000045_000014	同夥咱認依口供記
HVH_101_000045_000015	又体被轨人供詞
HVH_101_000045_000016	兹據名4寺供称名可均係籍民年饥家負常行買
HVH_101_000045_000017	除
HVH_101_000045_000018	粟碾米走市生涯月日早各带银银箕横行市途遇赢
HVH_101_000045_000019	行盗人報謂彼邑财主家買粟價稍輕每方减二三
HVH_101_000045_000020	陌頗粟坚好迟一夜可利一日之食那各辰常就買如肯
HVH_101_000045_000021	共俱便路遇那家同行伊寺的喜差利随行至那市馆见
HVH_101_000046_000001	有三五人在此備有绳横裹饭那呼一同行約牢更程至
HVH_101_000046_000002	一寨家那报少坐八典寨主說話如何随見五三人出來
HVH_101_000046_000003	招之共俱該寺見其人貌兑悍驚意其必爲拾奪躇
HVH_101_000046_000004	不進但日已晚芳难逊脱阿從至财主家那輩令行抄
HVH_101_000046_000005	取圖物及見民夫赴救那革放火前门馆令拾所秋圖物
HVH_101_000046_000006	退柴门而走尖傷被获承查甘罪寺語
HVH_101_000046_000007	再據五三供
HVH_101_000046_000008	名貫人
HVH_101_000046_000009	称界依兹供詞
HVH_101_000046_000010	闲根脚詞
HVH_101_000046_000011	人
HVH_101_000046_000012	府縣總社名呈爲承開事兹承伤取提衙容问属
HVH_101_000046_000013	司翰
HVH_101_000046_000014	四十七
HVH_101_000046_000015	民社名根脚如何覆辨宜即結编覆寺因承招名么
HVH_101_000046_000016	名名寺均係民社内籍丁向來只以耕農及商買生
HVH_101_000046_000017	理無有爲非何事兹承伤明若奸甘咎兹承闲
HVH_101_000046_000018	又闭根脚
HVH_101_000046_000019	6
HVH_101_000046_000020	府照總社名叩
HVH_101_000046_000021	禀為承事承伤民社名根脚如何闲結憑辨寺因承
HVH_101_000046_000022	招民社内外籍均無寓店名号惟有名商藥人月一
HVH_101_000046_000023	二次就民社賣藥隨賣隨去無有留居何辰兹承伤下據
HVH_101_000046_000024	定承若奸開甘答兹承
HVH_101_000047_000001	又闲根詞
HVH_101_000047_000002	府縣總社名名寺叩
HVH_101_000047_000003	呈属乞承闲事承民社内籍名被报年前里長干控
HVH_101_000047_000004	得革散二三年來未見回御該妻子侄现方在家安
HVH_101_000047_000005	常無有他通至如伊所称手下之名名寺社内外
HVH_101_000047_000006	籍均無有此寺名号兹承下據詳闲若奸開甘兹
HVH_101_000047_000007	承闸
HVH_101_000047_000008	奏
HVH_101_000047_000009	横奏為将查持强益案缘由恭摺侯
HVH_101_000047_000010	告本年公月今接属辖衙解将经查监丁有账
HVH_101_000047_000011	詞翰
HVH_101_000047_000012	四十八
HVH_101_000047_000013	物盗器禀結颇超伊所在總里解呈情形属重經催符初
HVH_101_000047_000014	仔摺嗣探那勾引寓店人供叙云云民供叙云云那盗
HVH_101_000047_000015	首供云云那掠丁供叙云云各寺情因謹案律载强
HVH_101_000047_000016	益但得财者不分首從皆斬寺因那移财經八手临辰拒
HVH_101_000047_000017	捕在外枚刀在内放火確為强盗罪情按律均應尽本法
HVH_101_000047_000018	決就中情原可悯法尽惟疑寬减又無正條懇請姑问
HVH_101_000047_000019	從以存恤除造意颗之名盗行盗唱平之干被干
HVH_101_000047_000020	业同之名名寺遵请番快集示懲存阿從之名
HVH_101_000047_000021	名么亲雄查其狼脚均内籍平民一辰被其誰骗陷干
HVH_101_000048_000001	罪庆請绍不應為之事理重者杖八十各交所在官
HVH_101_000048_000002	以将來名名题祸線引乃像盗首遵创以從益論
HVH_101_000048_000003	應减一寺科绞盗侯惟伊被那盗嚇其妻陽誘之使行
HVH_101_000048_000004	陰投报主遂令那全憲網难那事主復收所有苟合
HVH_101_000048_000005	夫姜能主仆那事主责供证属確心有可原罪之可恨比
HVH_101_000048_000006	烟强盗能捕获同伴解官亦得免罪参以依常人一体赏
HVH_101_000048_000007	給之條抄請和监扣算得付團聚安業各缘由除盗赃
HVH_101_000048_000008	付事主招認外敢具
HVH_101_000048_000009	奏候奉
HVH_101_000048_000010	肯準謹奏、
HVH_101_000048_000011	詞翰
HVH_101_000048_000012	四十九
HVH_101_000048_000013	所在领回管束
HVH_101_000048_000014	景
HVH_101_000048_000015	府總社里詞寺叩
HVH_101_000048_000016	承领事兹承伤民社所有名么名公亲昨被劫颗迫
HVH_101_000048_000017	扶掠查明根脚确係平民按律從宽輕减现奉錄唯
HVH_101_000048_000018	差三个月限備交民管来等因承此民社气结领回民管
HVH_101_000048_000019	束兹領詞
HVH_101_000048_000020	兵丁控粮田妆
HVH_101_000048_000021	府總社亦或情共公叩
HVH_101_000048_000022	呈属乞恒事節承明飾兵有粮兵社向俗别置公田
HVH_101_000048_000023	N
HVH_101_000049_000001	區号马兵田社内兵工按刑给嗣兵寺應伍兵社
HVH_101_000049_000002	以蒙减兵额兄项里役么寺将這處田借耕取利刊
HVH_101_000049_000003	手私肥至如兵田挪移别处给以别田
HVH_101_000049_000004	载其原效
HVH_101_000049_000005	零星处所
HVH_101_000049_000006	窃念兵
HVH_101_000049_000007	寺王事贤劳俯仰不足惟此分给以從公似此
HVH_101_000049_000008	所行國例民俗於伊之手此伏乞
HVH_101_000049_000009	堂官審恤及情催辨量何庶免失其资萬
HVH_101_000049_000010	里今叩
HVH_101_000049_000011	呈
HVH_101_000049_000012	全民叙
HVH_101_000049_000013	詞翰
HVH_101_000049_000014	五十
HVH_101_000049_000015	公府縣總社全民承间事承取承首
HVH_101_000049_000016	民社兵寺单粮田一民寺挪移不以给兵交究即
HVH_101_000049_000017	禀寺因承民社徒前分受兵干每兵给田干畝置别
HVH_101_000049_000018	兵田一區干友兵自相刊给均其肥瘦嗣蒙減额只存受
HVH_101_000049_000019	兵干係替為兵者各從御約認田此無何声口自名
HVH_101_000049_000020	各寺應兵欲侍兵倒全民自前人别置兵田兵
HVH_101_000049_000021	食不问兵效多察全兵民社不許仍换原数换给别
HVH_101_000049_000022	所均係肥田全肥相每兵干不曾減少原给
HVH_101_000049_000023	开非是零星处所
HVH_101_000049_000024	庶止後來藉以兵田爲辞該寺贪心不厭讀其原
HVH_101_000050_000001	3
HVH_101_000050_000002	处兵田均给全民以资拾受惟於年月日搜税紫期
HVH_101_000050_000003	民情据有補無收業摘将這田干遵例借耕取线
HVH_101_000050_000004	费
HVH_101_000050_000005	以充公课原非民寺刊取私肥兹承究及據详若奸
HVH_101_000050_000006	调甘咎兹承讯
HVH_101_000050_000007	縣禀文
HVH_101_000050_000008	官街
HVH_101_000050_000009	肃
HVH_101_000050_000010	禀為禀明事承叙筋甲社兵丁单叶粮田各理交
HVH_101_000050_000011	究寺因里經催该资究挺供從前伊社受兵别给公
HVH_101_000050_000012	田一區千每兵受田下兹伊寺兵切指為兵田全區兵
HVH_101_000050_000013	伊社不許將這區均给全民換給别所以止後來以為
HVH_101_000050_000014	詞翰
HVH_101_000050_000015	五十一
HVH_101_000050_000016	辞兵寺惶读叶寺情且該社向置兵田在处兹将换
HVH_101_000050_000017	给在處不减额亦肥田全幅全畝事雖迎古亦係
HVH_101_000050_000018	酌辰該兵寺奈以向劍詞多遁果係贪得的情可諒者
HVH_101_000050_000019	伊兵寺國尔忘家资此俯仍究之伊社現籍户效干寔徵
HVH_101_000050_000020	公田千除兵分外替给口分每可田干畝較共兵田亦
HVH_101_000050_000021	不甚遜甲衙的哀益請向约每兵受田干併遵筋錄
HVH_101_000050_000022	给許每兵粮田千共兵田千摘将原置處充给侯汰还民
HVH_101_000050_000023	两造平情無奈事究敢具禀其可否之處候承
HVH_101_000050_000024	審饬
HVH_101_000051_000001	札筋
HVH_101_000051_000002	官為礼伤事招得社兵丁名名蚌叙粮
HVH_101_000051_000003	田各理经将交究伊衙禀叙伊社每户受田共兵鼓不甚
HVH_101_000051_000004	遙酌請益遵疑每兵粮田之疑增給干似此誠厚於
HVH_101_000051_000005	兵可酬劳應依合连辨须至札勘者
HVH_101_000051_000006	右札衙准此
HVH_101_000051_000007	减丁田詞
HVH_101_000051_000008	府縣總社名名寺叩
HVH_101_000051_000009	禀為几望恩事缘季招民社籍内各项人丁干内我色
HVH_101_000051_000010	詞翰
HVH_101_000051_000011	五十二
HVH_101_000051_000012	免差干當差干就中贫之居多歲受搜銀干存外籍民
HVH_101_000051_000013	或小察僑居或技人家寄寓寻便生涯来乍去從
HVH_101_000051_000014	無根脚工搜至期掣他往只留空寮課清赤身携回無
HVH_101_000051_000015	由追捉節承加八丁干搜跟動勝至干每至課纳有無
HVH_101_000051_000016	收不免刊替窃念民丁已承定加八之效均不成丁民
HVH_101_000051_000017	杜十室九空控受搜銀若是必至漂流此伏
HVH_101_000051_000018	堂官以事轉商麻蒙减效蘇民積萬望今叩
HVH_101_000051_000019	呈
HVH_101_000051_000020	减田詞
HVH_101_000051_000021	府縣總社者役名名叩
HVH_101_000052_000001	票為乞審恤望恩事承民社地簿共干高尺寸内除
HVH_101_000052_000002	扦垒放牧溪渠道路及土阜高燥共只存寔徵田千土
HVH_101_000052_000003	千加開荒闵成土八创干合共應微全年税银千嗣承
HVH_101_000052_000004	贵派包度佛将垫放牧高燥在内加成田千土干著八
HVH_101_000052_000005	税額勝原額動至銀干適层課期遵伤不敢陳叶黽勉而
HVH_101_000052_000006	受增補税银至每田千土千丁干甚至穷丁寡婦每家
HVH_101_000052_000007	方能充課務免催差民情又動形招据兹窃念田
HVH_101_000052_000008	土自有定籍杆整放牧溪渠道路此效經奉蒙得免税承
HVH_101_000052_000009	開加田土民不能堪苟不以事申年又控受無由辨納
HVH_101_000052_000010	詞
HVH_101_000052_000011	五十三
HVH_101_000052_000012	伏乞
HVH_101_000052_000013	堂官恤及民情派下勘度减其勝额民得免控受萬
HVH_101_000052_000014	顿今叩
HVH_101_000052_000015	禀
HVH_101_000052_000016	田戸控里長监補
HVH_101_000052_000017	府縣總社田卢名名寺叩
HVH_101_000052_000018	呈為乞番究事承招今年搜税咱分二期微纳民社會合
HVH_101_000052_000019	按牌纸牛補除公益附纳外每應纳银民寺遵伤各
HVH_101_000052_000020	按正供牛纳里長不肯编来索收银税每干搜銀每丁
HVH_101_000052_000021	干較共全收纳三成之二窃念歲歉收现情据蒙咱
HVH_101_000053_000001	分徵以舒民急勝可者稍能勉最乏者東西無所貸
HVH_101_000053_000002	宅無所售甚至典賣産物懂能供公里长如此温收民情
HVH_101_000053_000003	何堪此具单伏乞
HVH_101_000053_000004	堂官调下恤及雀究量何民積萬望今叩
HVH_101_000053_000005	呈
HVH_101_000053_000006	里長词
HVH_101_000053_000007	么叩
HVH_101_000053_000008	呈承调事练民被单控监收搜税各理承催究
HVH_101_000053_000009	處民气據定明承招民社全年應徽搜銀于税銀干公
HVH_101_000053_000010	益銀干附纳银千兹期榮得分微瘦税各的一牛且何像
HVH_101_000053_000011	情顾全纳别册備究等四民遵辉报民社會合遵始牌
HVH_101_000053_000012	詞翰
HVH_101_000053_000013	五十四
HVH_101_000053_000014	除公益附纳外按项半辅交民收通纳據諸家分新私
HVH_101_000053_000015	田二三款以上者跟数多情顾分微存一以下者顾
HVH_101_000053_000016	纳一次免受烦费伊私田或一畝零或五七高民动久
HVH_101_000053_000017	效火易辨全的取派一体免烦該带不肯惟将钱半的面
HVH_101_000053_000018	各項钱乞留後期民謂家贵稍可者所應的完乃許編來
HVH_101_000053_000019	伊等不如意相平無一的线成訟理且搜税展具有全
HVH_101_000053_000020	民補簿何人的銀千具有民編字跡原無浮滥何情伏乞
HVH_101_000053_000021	堂官斗究明以其有腊调印&甘咎兹承朗
HVH_101_000053_000022	和休詞
HVH_101_000054_000001	府縣總社名名寺叩
HVH_101_000054_000002	呈為乞休奈事緣承筋咱搜税分徵民原呈寺单控里長
HVH_101_000054_000003	澄收半納不有認编承假質係民社私田必者情願全
HVH_101_000054_000004	納民原呈半納而各項践乞留後期民里長不肯認收
HVH_101_000054_000005	各寺情兹当堂依札晓示觉來各自遇各民原呈
HVH_101_000054_000006	气按正供业各項线半纳民里長按数编收两造平情和
HVH_101_000054_000007	休無奈為此具单交記伏乞批付休奈以息訟端萬赖今
HVH_101_000054_000008	即
HVH_101_000054_000009	呈
HVH_101_000054_000010	呈失落牛牢馬
HVH_101_000054_000011	公叩
HVH_101_000054_000012	詞
HVH_101_000054_000013	五十五
HVH_101_000054_000014	火壮或
HVH_101_000054_000015	牛或牢或馬頭匹四下尋至社家业木見
HVH_101_000054_000016	牛牢馬藏在此看果民家所畜民典民莫敢認且
HVH_101_000054_000017	民之牡牛牢身色或雜色而年方干歲身内形
HVH_101_000054_000018	具将計後伏乞
HVH_101_000054_000019	堂官恤及派勘伴民蒙得跟派認果
HVH_101_000054_000020	将或牛或牢或
HVH_101_000054_000021	或筋下所在里役
HVH_101_000054_000022	馬就呈乞解呈庶便结领将回免妨生理
HVH_101_000054_000023	民得便誌認
HVH_101_000054_000024	0
HVH_101_000054_000025	萬塑今印
HVH_101_000054_000026	呈
HVH_101_000054_000027	礼
HVH_101_000055_000001	皇號年月日官為属衙知正副總社
HVH_101_000055_000002	或或牢或马
HVH_101_000055_000003	現藏在此乞審寺語據伊原呈跟引見果即伊所里役
HVH_101_000055_000004	護解那牛或牢或馬家主並其脏牛牢馬回呈母得鞋
HVH_101_000055_000005	咱縱徇藉擾有咎
HVH_101_000055_000006	又札体
HVH_101_000055_000007	皇號千年月日府縣官街
HVH_101_000055_000008	或尋至社见在
HVH_101_000055_000009	本中乞等語合札據伊原呈跟引所在里護解
HVH_101_000055_000010	這牛或牢或馬如有何管認併解備究兹札
HVH_101_000055_000011	詞翰
HVH_101_000055_000012	五十六
HVH_101_000055_000013	高主闸叙
HVH_101_000055_000014	府縣總社名公叩
HVH_101_000055_000015	呈為乞闲事承伤叶叙月日失盗中頭尋見
HVH_101_000055_000016	馄藏在民家乞派辨伤民明寺因且现下播越期
HVH_101_000055_000017	日民於市上採買這牛或中具有契所在里役見
HVH_101_000055_000018	知至如盗牛或牢之毫莫知情兹承究出係民謬買民
HVH_101_000055_000019	乞據定闲明懇乞按契容催证究果以頭其兹永
HVH_101_000055_000020	牛主讲認
HVH_101_000055_000021	府縣公總社名叩
HVH_101_000056_000001	呈承事本月日夜家失水牛
HVH_101_000056_000002	牛干頭导至
HVH_101_000056_000003	牢马
HVH_101_000056_000004	社見在家味承筋解衙究依单叙這牛或牢馬身
HVH_101_000056_000005	内形跡誌認客依家物這牛牢馬歸于民承此結乞認
HVH_101_000056_000006	這牛牢馬将回餐耕稼或乘用若有出奸何情甘
HVH_101_000056_000007	答伏乞
HVH_101_000056_000008	堂官付下量何俾民得便結認萬頓今叩
HVH_101_000056_000009	呈
HVH_101_000056_000010	和詞
HVH_101_000056_000011	府縣總社名叩
HVH_101_000056_000012	司翰
HVH_101_000056_000013	五十七
HVH_101_000056_000014	~
HVH_101_000056_000015	呈為乞催亲緣於月日早民親妻氏出行暮深不見
HVH_101_000056_000016	返回通尋弗見不知所往旬月後风闻方在社家親
HVH_101_000056_000017	伺探見果伊氏在伊名家同坐同食如該家人一般不知
HVH_101_000056_000018	緣故何似他情景無可奈何且伊名平日常有往來民
HVH_101_000056_000019	社不無知诱的情此伏乞
HVH_101_000056_000020	堂官審恤量何庶全发唐之姜萬望今叩
HVH_101_000056_000021	呈
HVH_101_000056_000022	札催
HVH_101_000056_000023	官街
HVH_101_000056_000024	馬札隸兵一名前往總據正副總引就社
HVH_101_000056_000025	看據里長催取名解回衙究再據么指引氏的身
HVH_101_000057_000001	一併由社名单控各理此行限日内回若
HVH_101_000057_000002	有咎兹札
HVH_101_000057_000003	原间呈
HVH_101_000057_000004	府德社名叩
HVH_101_000057_000005	呈乞承用事缘民所控名和誘民妻求催究处民
HVH_101_000057_000006	同明憑究承招原民所娶之女氏美婚聘攔街
HVH_101_000057_000007	礼成親之後家室和諧伊氏愿業商賣月日早拾將貨
HVH_101_000057_000008	走市日暮不回方尋從見信息後風現在社
HVH_101_000057_000009	家民即親往伺探果见民委在此准人看其情意报謂伊
HVH_101_000057_000010	氏出八伊名房屋或辰同席而坐同盘面食寺語民他鄉
HVH_101_000057_000011	詞输
HVH_101_000057_000012	五十八
HVH_101_000057_000013	劣孤無不敢誰何单乞審辨寺情若奸用甘咎
HVH_101_000057_000014	被闭呈
HVH_101_000057_000015	呈為乞承用事緣所被社控民和诱伊承
HVH_101_000057_000016	究處承招原民粗学見科辰常性來伊社及伊旁医治
HVH_101_000057_000017	小病疾伊係賣絹民節次買尚存欠三五
HVH_101_000057_000018	元公日晚见伊氏及随拾一就民家索所久銀民乞舒
HVH_101_000057_000019	五七目伊氏不咱說去說來且謂姑留俟得銀始还過
HVH_101_000057_000020	民妻造饭请伊氏主婢共民夫麦列盘西食八夜民妻
HVH_101_000057_000021	整修床席国房同明日走市现就家典民委
HVH_101_000058_000001	每辉同宿經日夜治去日早民妻辨跟清还伊氏主場
HVH_101_000058_000002	去了原民無有和誘何辰兹承究及宴详
HVH_101_000058_000003	单乞闸市
HVH_101_000058_000004	府縣總社者役社上下
HVH_101_000058_000005	皇属乞间市事承绍民社民居人少往来市肆遥隔
HVH_101_000058_000006	资生理窃思民间日用便交易而通有無莫若日中
HVH_101_000058_000007	市兹民社所有高燥土一區约三畝接近民居四至在
HVH_101_000058_000008	承闭词不堪耕破业著土项控受税创怨乞刻削
HVH_101_000058_000009	平坦設立茶馆邀會走市行客以资贸易且縣辖諸市番
HVH_101_000058_000010	司翰
HVH_101_000058_000011	五十九
HVH_101_000058_000012	每月初日十日开日民社乞另各社市番
HVH_101_000058_000013	訂以每月每旬日永為信期以免惹争仍乞假以年成
HVH_101_000058_000014	琴将為市额供税窃恐事伏乞
HVH_101_000058_000015	堂官審量以事轉票幸蒙商許均沾樂利萬望今叩
HVH_101_000058_000016	呈
HVH_101_000058_000017	文
HVH_101_000058_000018	官衔
HVH_101_000058_000019	肃
HVH_101_000058_000020	為具禀事兹據辖社单十該民居做壤市肆遙隔
HVH_101_000058_000021	雅生理乞将高燥土约三畝設馆邀行客每月以初
HVH_101_000058_000022	4日日日日中為市以贸易仍乞
HVH_101_000059_000001	事禀商年内成市供税寺情頗招伊社從来田里相安唯
HVH_101_000059_000002	知守分勤業商賈之所不到有無之所不通似此情詞亦
HVH_101_000059_000003	属可諒仍里辖各社市番日期共伊社所會定日期非
HVH_101_000059_000004	有重複争阻敢具将訂禀候承审辨今甫禀
HVH_101_000059_000005	省札
HVH_101_000059_000006	官
HVH_101_000059_000007	為札筋事得伊衙禀将社呈乞开市单察
HVH_101_000059_000008	之情亦可量经商依乞是亦利民公益之事合筋知辨须
HVH_101_000059_000009	至札饬者
HVH_101_000059_000010	右札公縣衙準此
HVH_101_000059_000011	星長派給通行
HVH_101_000059_000012	商翰
HVH_101_000059_000013	六十
HVH_101_000059_000014	皇號年月日府總社里長為認宴事兹據本社
HVH_101_000059_000015	籍民名詳叙伊業商賣得板船一艘具有税牌水手
HVH_101_000059_000016	具足装载行货常物驶往河南河北列貴省辖津市兑
HVH_101_000059_000017	取钱再買物頂運回本贯生理寺情窃悉水程做開合認
HVH_101_000059_000018	為憑几經過所在机问祈賜通行抵呈屯所官軍檢果逾
HVH_101_000059_000019	限仰付換派兑阻生涯是望去回限十五日而止兹認詞
HVH_101_000059_000020	經呈御頭偶有乞丐人病死
HVH_101_000059_000021	府縣總社里長ム叩
HVH_101_000059_000022	呈為呈明事本日昧爽據民邑张巡名驰詳於夜闸巡
HVH_101_000060_000001	至本邑地頭見有人卧路旁打燭看之見係死事体未
HVH_101_000060_000002	詳回報寺語立刻抵处辰已平明見果死看係老婦
HVH_101_000060_000003	不詳名貫衣服楼身体邸臥四肢縱弛頭路上尺田
HVH_101_000060_000004	身边有一草囊一小竹杖卧此整命窃恐事拥為此具呈
HVH_101_000060_000005	候承示遵辨今叩
HVH_101_000060_000006	呈
HVH_101_000060_000007	札給
HVH_101_000060_000008	官街為札給事兹據社里長呈叙該社地頭有遇
HVH_101_000060_000009	路死屁不詳名贯各理乞人一面之詞應紧派
HVH_101_000060_000010	詞翰
HVH_101_000060_000011	六十一
HVH_101_000060_000012	勘合札即带款兵件人迅往驗果即筋備草棺埋以免
HVH_101_000060_000013	暴露有何友具編回呈仍解該張巡巡夫人備質以
HVH_101_000060_000014	充案理切勿藉事滋摄兹札
HVH_101_000060_000015	乞宰牛牢
HVH_101_000060_000016	府縣公總社里長阮叩
HVH_101_000060_000017	呈承乞事緣民社於本月日所有八席祈福乞宰水
HVH_101_000060_000018	牛黄壹並陈列器唱歌奉事至日出席
HVH_101_000060_000019	或望先
HVH_101_000060_000020	贤或侧有
HVH_101_000060_000021	神窃恐事闲莫敢便仍此伏气
HVH_101_000060_000022	堂官大人斗批付為憑伴民社得便承行萬望今印
HVH_101_000061_000001	呈
HVH_101_000061_000002	經呈失火
HVH_101_000061_000003	府縣總社叩
HVH_101_000061_000004	呈爲乞經呈事缘於本月日民往科田民妻走市幼子
HVH_101_000061_000005	女干各氏在家是午牌前卒闻民邑呼唤圣鼓连声又见
HVH_101_000061_000006	烟烦暗飛即走回近見民家失火鄰旁群來扑敕風盛
HVH_101_000061_000007	水遠無可奈致民家並圖物併被延燒始盡質之女子
HVH_101_000061_000008	均謂伊等炎失察所致各情事闲失火莫敢恬然具
HVH_101_000061_000009	单伏乞
HVH_101_000061_000010	堂官審恤量何民得蒙餘澤萬里今叩
HVH_101_000061_000011	詞翰
HVH_101_000061_000012	六十二
HVH_101_000061_000013	呈
HVH_101_000061_000014	經呈失益
HVH_101_000061_000015	府縣總社里長叩
HVH_101_000061_000016	呈爲經呈事緣兹税期最限在即去夜民共者役會在民
HVH_101_000061_000017	家促收及纳至三更未無人來纳者役散回民罷倦甚檢
HVH_101_000061_000018	效共得干百元謹将房内貯于木函谨锁安寝至昧
HVH_101_000061_000019	爽驚觉適見後墙有孔光隙恍惚檢刷這銀函並房中圖
HVH_101_000061_000020	物各项併被盗失窃恐事失盗况又银税不知所出为
HVH_101_000061_000021	此伏乞
HVH_101_000062_000001	本縣堂官斗恤及民情派勘以顕其併乞轉禀量何
HVH_101_000062_000002	俾民得蒙厚澤萬望今叩
HVH_101_000062_000003	呈
HVH_101_000062_000004	書寄以下
HVH_101_000062_000005	父寄子書
HVH_101_000062_000006	憶自久隔庭日月居諸美方家
HVH_101_000062_000007	教寸念憨如闻得现今住在屯幸保無恙勉系风夜從
HVH_101_000062_000008	公王事靡监日復一日歲序梭流指而清完國課是亦
HVH_101_000062_000009	以忠為孝也勉旃勉旃当
HVH_101_000062_000010	皇號年月日省府縣總社家書到折看回書
HVH_101_000062_000011	詞翰
HVH_101_000062_000012	六十三
HVH_101_000062_000013	知悉
HVH_101_000062_000014	子復父書
HVH_101_000062_000015	恭接書来闲看嚴训之辞敢不路心佩服如对嚴颜常念
HVH_101_000062_000016	庭圆久隔顿依定省之常俊还期镜发高堂長衍香彭之
HVH_101_000062_000017	歲月复親康健一室和平子得安心從事勵志術操循
HVH_101_000062_000018	而國課早週乞法满回侍萬幸當
HVH_101_000062_000019	皇號年月日现住屯赤袴兵或青袴疗子
HVH_101_000062_000020	顿上祈探纳
HVH_101_000062_000021	朋友相寄書
HVH_101_000062_000022	億自分携芝眉顿隔天谷一方雲间雙意下孤燈日征
HVH_101_000063_000001	月邁倍切眷树春雲不勝耿耿近訪公事清妥家
HVH_101_000063_000002	平康每欲親抵談故第以公事煩冗举趾良雄謹寄燕詞
HVH_101_000063_000003	敢憑驿报当
HVH_101_000063_000004	皇号年月日愈誼或契誼書
HVH_101_000063_000005	夫寄妻書
HVH_101_000063_000006	想自從戎之從襄暄卡隔余桃半空堂上供親家中課子
HVH_101_000063_000007	家事今内相國事今予當心耿耿如有隐憂近來幸得
HVH_101_000063_000008	身躬康健兵伍闲所有書回问安叙及銀效干庶表最昏
HVH_101_000063_000009	之禮當
HVH_101_000063_000010	詞翰
HVH_101_000063_000011	六十四
HVH_101_000063_000012	皇号云云屯赤袴兵青阮書寄係见迪到折看
HVH_101_000063_000013	向領跟清復書知卷
HVH_101_000063_000014	妻復夫書
HVH_101_000063_000015	荘按書回看銀效交依领訖至如訂叙之辞妄曾心契
HVH_101_000063_000016	矣高堂侍甘肯最昏供親兮妄願之男瑟琴雅
HVH_101_000063_000017	鳳和音思君兮妾心不暂朗矧是一日三秋巍雲海月自
HVH_101_000063_000018	古而然惟顾安心從来公系忘私兵事語闲身躬康健是
HVH_101_000063_000019	妾之厚望也當
HVH_101_000063_000020	皇号年月日社氏書上
HVH_101_000064_000001	寄友暫書
HVH_101_000064_000002	翁不才總内信爱推保幸蒙
HVH_101_000064_000003	官察票依已候领文
HVH_101_000064_000004	意服事第拜賜之礼家用未周烦暫貴台下馬题千元
HVH_101_000064_000005	事清另货璧还古人云馬表共之其斯之謂软這宜親就
